,Player,Year,active_to,Agility,Sprint,Body Fat,Bench,Weight,Height (No Shoes),Vertical (Max Reach),Vertical (No Step Reach),big_man,Years_Played,Expected_Output,Weight_by_Height,Weight_by_BF,Height_by_BF,WBF_by_H
70,Armon Johnson,2010,2012,11.25,3.19,5.6,18.0,195.0,74.0,138.0,131.0,0,2,0,2.635135135135135,34.82142857142858,13.214285714285715,0.14756756756756753
71,Darington Hobson,2010,2012,11.68,3.25,6.2,7.319830901130277,204.0,77.25,138.5,133.5,0,2,0,2.6407766990291264,32.90322580645161,12.459677419354838,0.1637281553398058
72,Andy Rautins,2010,2011,11.27,3.49,6.2,8.0,192.0,76.25,130.5,123.5,0,1,0,2.518032786885246,30.96774193548387,12.298387096774194,0.15611803278688524
73,Wesley Johnson,2010,2018,11.43,3.14,4.6,16.0,206.0,78.25,143.0,138.0,0,8,1,2.63258785942492,44.78260869565218,17.010869565217394,0.12109904153354631
74,Lance Stephenson,2010,2018,11.39,3.38,9.3,10.0,227.0,76.5,136.0,130.0,0,8,1,2.9673202614379086,24.408602150537632,8.225806451612902,0.27596078431372556
75,Jarvis Varnado,2010,2014,11.61,3.37,9.5,3.0,210.0,80.25,142.0,139.0,1,4,0,2.616822429906542,22.105263157894736,8.447368421052632,0.24859813084112148
76,Devin Ebanks,2010,2013,11.69,3.44,7.9,6.0,208.0,79.0,139.5,131.0,1,3,0,2.632911392405063,26.32911392405063,10.0,0.208
77,Jerome Jordan,2010,2015,11.915595724604827,3.5042982127908644,6.9,11.80541390439155,244.0,83.5,139.69215248848383,135.58854443770463,1,5,0,2.9221556886227544,35.36231884057971,12.101449275362318,0.2016287425149701
78,DeMarcus Cousins,2010,2018,11.4,3.55,16.4,14.519536479723598,292.0,81.5,140.5,136.5,1,8,1,3.5828220858895707,17.804878048780488,4.969512195121951,0.5875828220858894
79,Solomon Alabi,2010,2012,13.2,3.68,5.0,10.0,237.0,83.5,139.0,135.5,1,2,0,2.838323353293413,47.4,16.7,0.1419161676646707
80,Willie Warren,2010,2011,11.21,3.5,7.6,10.0,208.0,74.5,131.0,122.5,0,1,0,2.791946308724832,27.36842105263158,9.802631578947368,0.21218791946308724
81,Derrick Caracter,2010,2011,12.78,3.61,12.8,22.0,280.0,80.25,137.75,132.25,1,1,0,3.4890965732087227,21.875,6.26953125,0.4466043613707166
82,Ekpe Udoh,2010,2018,11.15,3.29,8.0,10.0,237.0,80.75,140.0,137.5,1,8,1,2.934984520123839,29.625,10.09375,0.23479876160990712
83,Greg Monroe,2010,2018,12.1,3.35,11.2,15.0,247.0,81.75,137.5,133.5,1,8,1,3.021406727828746,22.05357142857143,7.299107142857143,0.33839755351681955
84,Al-Farouq Aminu,2010,2018,11.29,3.3,8.2,13.0,216.0,79.25,142.0,135.5,1,8,1,2.725552050473186,26.34146341463415,9.664634146341465,0.22349526813880122
85,Gordon Hayward,2010,2018,11.73,3.22,6.9,10.0,211.0,78.75,137.5,133.5,0,8,1,2.679365079365079,30.579710144927535,11.41304347826087,0.1848761904761905
86,Manny Harris,2010,2017,11.27055432856542,3.1446426341648803,3.8,11.0,185.0,76.0,137.4289193553678,131.64595435917278,0,7,1,2.4342105263157894,48.684210526315795,20.0,0.0925
87,Sherron Collins,2010,2011,12.31,3.24,9.2,13.59520995595497,217.0,70.25,127.0,121.5,0,1,0,3.088967971530249,23.586956521739133,7.635869565217392,0.2841850533807829
88,Jimmer Fredette,2011,2016,10.42,3.21,7.7,14.0,196.0,72.75,129.5,124.5,0,5,0,2.6941580756013748,25.454545454545453,9.448051948051948,0.20745017182130585
89,Klay Thompson,2011,2018,10.99,3.24,8.0,5.0,206.0,77.75,135.0,130.0,0,7,1,2.64951768488746,25.75,9.71875,0.21196141479099678
90,Alec Burks,2011,2018,10.96,3.17,5.1,5.0,193.0,77.0,139.5,132.5,0,7,1,2.5064935064935066,37.84313725490196,15.098039215686276,0.12783116883116882
91,Markieff Morris,2011,2018,11.483300949636021,3.4,10.2,11.0,241.0,79.75,138.0,133.5,1,7,1,3.0219435736677114,23.627450980392158,7.818627450980393,0.30823824451410653
92,Marcus Morris,2011,2018,11.322625506408253,3.15,8.0,11.0,230.0,79.0,138.5,134.5,1,7,1,2.911392405063291,28.75,9.875,0.2329113924050633
93,Kawhi Leonard,2011,2018,11.45,3.15,5.4,3.0,227.0,78.0,138.0,131.5,1,7,1,2.91025641025641,42.03703703703703,14.444444444444443,0.15715384615384617
94,Nikola Vucevic,2011,2018,12.02,3.27,6.1,8.0,260.0,82.25,137.5,136.0,1,7,1,3.161094224924012,42.622950819672134,13.48360655737705,0.19282674772036473
95,Iman Shumpert,2011,2018,11.1,3.18,6.5,18.0,222.0,76.25,141.5,136.0,0,7,1,2.911475409836066,34.15384615384615,11.73076923076923,0.18924590163934427
96,Chris Singleton,2011,2014,11.33,3.09,7.4,15.0,230.0,79.75,141.0,134.0,1,3,0,2.884012539184953,31.08108108108108,10.777027027027026,0.21341692789968655
97,Tobias Harris,2011,2018,10.96,3.17,8.4,12.0,223.0,78.5,141.0,135.0,1,7,1,2.840764331210191,26.547619047619047,9.345238095238095,0.23862420382165608
98,Derrick Williams,2011,2018,11.03,3.23,10.8,19.0,248.0,79.25,142.5,137.0,1,7,1,3.1293375394321767,22.962962962962962,7.337962962962963,0.3379684542586751
99,Nolan Smith,2011,2013,11.05,3.17,5.6,9.0,188.0,73.5,133.0,127.5,0,2,0,2.557823129251701,33.57142857142858,13.125,0.14323809523809522
100,Kenneth Faried,2011,2018,11.35,3.26,6.3,16.0,225.0,78.0,143.0,138.5,1,7,1,2.8846153846153846,35.714285714285715,12.380952380952381,0.18173076923076925
101,Jordan Hamilton,2011,2016,11.47,3.3,9.8,7.0,228.0,78.75,136.0,129.0,0,5,0,2.895238095238095,23.26530612244898,8.035714285714285,0.28373333333333334
102,Norris Cole,2011,2017,10.07,3.22,4.7,11.0,174.0,72.25,134.0,125.0,0,6,1,2.4083044982698962,37.02127659574468,15.372340425531915,0.11319031141868513
103,Cory Joseph,2011,2018,10.75,3.27,9.7,5.0,186.0,74.0,134.0,126.5,0,7,1,2.5135135135135136,19.175257731958766,7.628865979381444,0.2438108108108108
104,Enes Kanter,2011,2018,11.3,3.26,5.9,14.0,259.0,81.75,142.0,135.5,1,7,1,3.168195718654434,43.89830508474576,13.85593220338983,0.18692354740061162
105,Jimmy Butler,2011,2018,11.92,3.15,5.4,14.0,222.0,78.0,140.5,133.5,0,7,1,2.8461538461538463,41.11111111111111,14.444444444444443,0.1536923076923077
106,Justin Harper,2011,2017,11.92,3.3,4.0,19.0,228.0,80.0,139.0,134.5,1,6,1,2.85,57.0,20.0,0.11400000000000002
107,Kyle Singler,2011,2018,11.22,3.21,10.0,10.0,228.0,79.5,136.0,129.0,1,7,1,2.8679245283018866,22.8,7.95,0.28679245283018867
108,Shelvin Mack,2011,2018,11.23,3.18,7.1,17.0,209.0,73.0,135.5,128.5,0,7,1,2.863013698630137,29.43661971830986,10.281690140845072,0.20327397260273972
109,Tyler Honeycutt,2011,2013,11.68,3.07,5.3,10.067863235220157,187.0,78.75,142.0,135.0,1,2,0,2.3746031746031746,35.28301886792453,14.858490566037736,0.12585396825396825
110,Jordan Williams,2011,2012,12.74,3.45,12.1,10.0,247.0,79.75,137.0,131.5,1,1,0,3.09717868338558,20.41322314049587,6.590909090909091,0.37475862068965515
111,Trey Thompkins,2011,2012,11.72,3.41,15.5,15.0,239.0,80.5,138.0,135.0,1,1,0,2.968944099378882,15.419354838709678,5.193548387096774,0.4601863354037267
112,Chandler Parsons,2011,2018,11.05,3.29,7.0,4.0,221.0,80.75,136.0,130.0,1,7,1,2.736842105263158,31.571428571428573,11.535714285714286,0.19157894736842107
113,Jeremy Tyler,2011,2014,11.26,3.29,13.4,10.0,262.0,81.0,144.0,138.5,1,3,0,3.234567901234568,19.55223880597015,6.044776119402985,0.43343209876543215
114,Tristan Thompson,2011,2018,10.92,3.26,6.2,9.0,227.0,79.5,143.5,138.5,1,7,1,2.8553459119496853,36.61290322580645,12.82258064516129,0.1770314465408805
115,Jon Leuer,2011,2018,10.82,3.36,5.4,17.0,223.0,82.0,142.0,135.0,1,7,1,2.7195121951219514,41.29629629629629,15.185185185185183,0.14685365853658539
116,Darius Morris,2011,2015,11.0,3.2,5.3,12.0,190.0,75.25,134.0,126.5,0,4,0,2.524916943521595,35.84905660377358,14.19811320754717,0.13382059800664453
117,Malcolm Lee,2011,2015,11.2,3.09,5.9,17.0,198.0,76.0,137.0,131.5,0,4,0,2.6052631578947367,33.559322033898304,12.88135593220339,0.1537105263157895
118,Charles Jenkins,2011,2013,11.68,3.18,4.3,16.0,216.0,73.5,130.5,126.0,0,2,0,2.938775510204082,50.23255813953489,17.093023255813954,0.1263673469387755
119,Andrew Goudelock,2011,2016,10.33,3.1,9.9,4.0,198.0,73.25,133.5,129.0,0,5,0,2.7030716723549486,20.0,7.398989898989899,0.2676040955631399
120,Travis Leslie,2011,2012,11.0,3.13,8.1,10.0,205.0,75.0,143.5,136.0,0,1,0,2.7333333333333334,25.308641975308642,9.25925925925926,0.2214
121,Keith Benson,2011,2012,11.88,3.35,6.1,12.0,217.0,82.0,145.5,141.0,1,1,0,2.6463414634146343,35.57377049180328,13.442622950819674,0.1614268292682927
122,Josh Selby,2011,2013,11.13,3.2,7.9,5.0,195.0,73.75,140.0,127.5,0,2,0,2.6440677966101696,24.68354430379747,9.335443037974683,0.2088813559322034
123,DeAndre Liggins,2011,2018,11.081843402439537,3.33,5.0,6.0,202.0,77.0,134.5,130.5,0,7,1,2.6233766233766236,40.4,15.4,0.13116883116883118
124,E'Twaun Moore,2011,2018,11.12,3.31,7.6,5.050059495835896,191.0,74.5,134.0,131.5,0,7,1,2.563758389261745,25.13157894736842,9.802631578947368,0.19484563758389262
125,Isaiah Thomas,2011,2018,10.49,3.14,6.7,13.0,186.0,68.75,131.5,123.0,0,7,1,2.7054545454545456,27.761194029850746,10.261194029850746,0.18126545454545456
126,Brandon Knight,2011,2017,10.74,3.07,4.2,10.0,177.0,73.5,136.0,127.5,0,6,1,2.4081632653061225,42.14285714285714,17.5,0.10114285714285715
127,Kemba Walker,2011,2018,10.87,3.16,5.9,7.0,184.0,71.5,131.0,123.5,0,7,1,2.5734265734265733,31.1864406779661,12.118644067796609,0.15183216783216782
129,Greg Smith,2011,2016,12.43,3.36,7.4,17.0,253.0,80.0,142.5,136.0,1,5,0,3.1625,34.189189189189186,10.81081081081081,0.234025
130,Malcolm Thomas,2011,2015,11.31,3.29,5.9,5.0,223.0,79.5,144.0,139.5,1,4,0,2.8050314465408803,37.79661016949152,13.47457627118644,0.16549685534591194
131,Scotty Hopson,2011,2018,10.47,3.18,4.8,10.0,205.0,77.75,139.5,136.0,0,7,1,2.6366559485530545,42.708333333333336,16.197916666666668,0.12655948553054663
132,Anthony Davis,2012,2018,11.518532493389008,3.3228132190203192,7.9,9.106425901490542,222.0,81.25,141.37212037838952,136.46403322323096,1,6,1,2.732307692307692,28.101265822784807,10.284810126582277,0.2158523076923077
133,Austin Rivers,2012,2018,11.54,3.32,6.2,1.0,203.0,75.5,134.0,129.0,0,6,1,2.6887417218543046,32.74193548387097,12.17741935483871,0.1667019867549669
134,Meyers Leonard,2012,2018,11.34,3.41,5.7,19.0,250.0,83.75,140.5,138.0,1,6,1,2.985074626865672,43.859649122807014,14.692982456140351,0.1701492537313433
135,Jeremy Lamb,2012,2018,10.98,3.25,4.5,5.0,179.0,76.0,140.0,133.5,0,6,1,2.3552631578947367,39.77777777777778,16.88888888888889,0.10598684210526316
136,Kendall Marshall,2012,2016,12.03,3.23,7.8,8.172542754305804,198.0,75.25,133.0,127.0,0,4,0,2.6312292358803986,25.384615384615387,9.647435897435898,0.2052358803986711
137,John Henson,2012,2018,11.547576268690598,3.365699223348667,8.6,5.0,216.0,81.0,142.0,137.5,1,6,1,2.6666666666666665,25.116279069767444,9.418604651162791,0.2293333333333333
138,Royce White,2012,2014,11.801060949348482,3.397644069533579,10.6,11.95212238681033,261.0,79.0,138.50789047223827,133.56912847585082,1,2,0,3.3037974683544302,24.62264150943396,7.452830188679245,0.35020253164556964
139,Tyler Zeller,2012,2018,11.13,3.4,6.4,16.0,247.0,83.25,138.5,134.5,1,6,1,2.966966966966967,38.59375,13.0078125,0.1898858858858859
140,Terrence Jones,2012,2017,11.57,3.4,7.7,12.0,252.0,80.25,141.5,136.5,1,5,0,3.1401869158878504,32.72727272727273,10.422077922077921,0.2417943925233645
141,Andrew Nicholson,2012,2017,11.89,3.67,7.6,10.0,234.0,80.5,137.5,135.5,1,5,0,2.906832298136646,30.789473684210527,10.592105263157896,0.22091925465838508
142,Michael Kidd-Gilchrist,2012,2018,11.77,3.18,7.0,6.0,233.0,77.75,140.0,136.5,1,6,1,2.9967845659163985,33.285714285714285,11.107142857142858,0.20977491961414793
143,Jared Sullinger,2012,2017,12.77,3.81,10.7,9.0,268.0,79.75,136.5,135.0,1,5,0,3.3605015673981193,25.04672897196262,7.453271028037384,0.3595736677115987
144,Fab Melo,2012,2013,12.14,3.44,9.2,9.0,255.0,82.75,141.0,139.5,1,1,0,3.081570996978852,27.717391304347828,8.994565217391305,0.28350453172205436
145,John Jenkins,2012,2017,11.36,3.37,7.1,10.0,212.0,75.25,134.5,128.5,0,5,0,2.8172757475083055,29.859154929577468,10.598591549295776,0.20002657807308968
146,Jared Cunningham,2012,2016,11.275994336996133,3.188326270799108,3.6,4.0,188.0,75.5,136.08345596736692,129.74728857392608,0,4,0,2.4900662251655628,52.22222222222222,20.97222222222222,0.08964238410596027
147,Tony Wroten,2012,2016,10.75,3.24,5.2,8.495392689570785,203.0,76.75,136.5,131.0,0,4,0,2.6449511400651464,39.03846153846154,14.759615384615383,0.13753745928338765
