,Player,Year,active_to,Agility,Sprint,Body Fat,Bench,Weight,Height (No Shoes),Vertical (Max Reach),Vertical (No Step Reach),big_man,Years_Played,Expected_Output,Weight_by_Height,Weight_by_BF,Height_by_BF,WBF_by_H
468,Sasha Kaun,2008,2016,12.06,3.2,9.6,13.0,247.0,81.0,140.06973243758534,136.0852055760802,1,8,1,3.049382716049383,25.729166666666668,8.4375,0.29274074074074075
469,Brook Lopez,2008,2018,12.77,3.57,6.3,7.0,256.0,83.25,139.6068857826298,136.23987089197348,1,10,1,3.075075075075075,40.63492063492063,13.214285714285715,0.19372972972972974
470,Kevin Love,2008,2018,11.17,3.22,12.9,18.0,255.0,79.75,140.67205582180642,135.646816923298,1,10,1,3.197492163009404,19.767441860465116,6.182170542635658,0.4124764890282132
471,O.J. Mayo,2008,2016,11.04,3.14,6.3,7.0,200.0,75.25,135.68022942289068,129.2276762749677,0,8,1,2.6578073089700998,31.746031746031747,11.944444444444445,0.16744186046511628
472,JaVale McGee,2008,2018,12.75,3.25,5.3,7.0,241.0,83.0,140.04037407946282,136.92694662123228,1,10,1,2.9036144578313254,45.47169811320755,15.660377358490567,0.15389156626506023
473,DeMarcus Nelson,2008,2009,10.54,3.13,4.5,19.0,196.0,73.0,133.2601751002362,128.2973234737485,0,1,0,2.684931506849315,43.55555555555556,16.22222222222222,0.12082191780821919
474,Jeremy Pargo,2008,2013,10.65,3.07,7.6,7.0,208.0,72.5,131.69665156456443,124.43375787545789,0,5,0,2.8689655172413793,27.36842105263158,9.539473684210527,0.2180413793103448
475,Anthony Randolph,2008,2014,11.86,3.26,4.7,7.0,197.0,81.0,139.84067895472415,135.31809663947155,1,6,1,2.432098765432099,41.91489361702128,17.23404255319149,0.11430864197530864
476,Brian Roberts,2008,2017,10.65,3.05,3.6,10.0,173.0,72.25,132.8599467660771,127.0741208791209,0,9,1,2.394463667820069,48.05555555555556,20.069444444444443,0.0862006920415225
477,Derrick Rose,2008,2018,11.69,3.05,4.6,10.0,196.0,73.5,135.29168017618358,129.39901746835037,0,10,1,2.6666666666666665,42.608695652173914,15.978260869565219,0.12266666666666666
478,Mike Taylor,2008,2009,10.98,3.08,3.8,2.0,166.0,72.75,132.36326615752668,127.43672802197804,0,1,0,2.281786941580756,43.684210526315795,19.144736842105264,0.08670790378006872
479,Sonny Weems,2008,2016,10.58,2.96,4.4,12.0,193.0,76.0,136.8532321886661,130.84240076451326,0,8,1,2.539473684210526,43.86363636363636,17.27272727272727,0.11173684210526318
480,Russell Westbrook,2008,2018,10.98,3.08,4.8,12.0,192.0,74.25,135.32142797086652,128.93868643162398,0,10,1,2.585858585858586,40.0,15.46875,0.12412121212121213
482,Reggie Williams,2008,2017,11.32,3.07,5.3,15.0,199.0,75.25,135.8896965665802,129.45522941889982,1,9,1,2.644518272425249,37.54716981132076,14.19811320754717,0.1401594684385382
